GEOID,exc_jobs,exc_hospitals,exc_groceries,exc_schools,composite_deficit,disadvantage_z,posterior_mean_jobs,composite_rank
06073018805,1.0,1.0,1.0,1.0,1.0,-0.4177452334190393,349.44926650575024,1
06073020111,1.0,1.0,1.0,1.0,1.0,-0.8151239333214834,388.5837074135014,2
06073017020,1.0,1.0,1.0,1.0,1.0,-0.7797609387928404,360.3190760113821,3
06073017021,1.0,1.0,1.0,1.0,1.0,-0.946724581289545,256.4412830747226,4
06073017053,1.0,1.0,1.0,1.0,1.0,-1.263306414081108,321.2766429262989,5
06073015406,1.0,1.0,1.0,1.0,1.0,-0.6067528265136214,212.98509319631688,6
06073013423,1.0,1.0,1.0,1.0,1.0,-0.5916791264801161,181.9353810360548,7
06073020710,1.0,1.0,1.0,1.0,1.0,0.0285199576068243,517.411906204369,8
06073020711,1.0,1.0,1.0,1.0,1.0,-0.4336397282953312,382.70675369504943,9
06073016813,1.0,1.0,1.0,1.0,1.0,-0.0140039184687859,265.5424830115767,10
06073021306,0.99996875,1.0,1.0,1.0,0.9999921875,-0.488325236885117,400.6538009067063,11
06073019209,0.99996875,1.0,1.0,1.0,0.9999921875,-0.0429623816619142,406.37628588923656,12
06073020807,0.99996875,1.0,1.0,1.0,0.9999921875,-0.2688099521128949,417.75843253961307,13
06073019107,0.9999375,1.0,1.0,1.0,0.999984375,-0.4508803612042829,102.87149875362711,14
06073021206,0.99990625,1.0,1.0,1.0,0.9999765625,-0.4876762488189958,494.24050358487455,15
06073017010,0.99990625,1.0,1.0,1.0,0.9999765625,-1.1050237344476292,227.08803031613954,16
06073009901,0.99990625,1.0,1.0,1.0,0.9999765625,-0.5236682336308077,367.30366911867077,17
06073009805,0.99990625,1.0,1.0,1.0,0.9999765625,-0.1986965729247281,413.038130783083,18
06073016704,0.99990625,1.0,1.0,1.0,0.9999765625,-0.1666813967325826,421.7776144790439,19
06073010601,0.999875,1.0,1.0,1.0,0.99996875,-1.0614093515217984,314.2515206800138,20
06073020801,0.99975,1.0,1.0,1.0,0.9999375,-0.6141164111333063,646.1147412869456,21
06073009400,0.99971875,1.0,1.0,1.0,0.9999296875,-0.247225361433311,701.7106495684673,22
06073019105,0.9996875,1.0,1.0,1.0,0.999921875,-0.1312106765155063,613.1072475422166,23
06073017033,0.99965625,1.0,1.0,1.0,0.9999140625,-0.905696051577892,586.0541890909071,24
06073009505,0.999625,1.0,1.0,1.0,0.99990625,-0.3452159715527154,666.0650332442149,25
06073017112,0.999625,1.0,1.0,1.0,0.99990625,-1.0214166463276977,662.3107411666714,26
06073020811,0.99959375,1.0,1.0,1.0,0.9998984375,-0.5861955438654736,701.0499361648565,27
06073020810,0.9995625,1.0,1.0,1.0,0.999890625,-0.6801822568533825,700.5981951481964,28
06073010201,0.99953125,1.0,1.0,1.0,0.9998828125,0.9481295092068492,632.8334216143928,29
06073017066,0.9995,1.0,1.0,1.0,0.9998750000000001,-0.7607785143181669,537.9435056588497,30
06073021204,0.99946875,1.0,1.0,1.0,0.9998671875,-0.3724339174938076,618.359629830396,31
