GEOID,pareto_k
06073000100,1.1240072278048645
06073000201,0.9883327336089132
06073000202,1.405872651516266
06073000301,1.4117572610054383
06073000302,1.1886745145736102
06073000400,1.2522581686023508
06073000500,1.0702555532172815
06073000600,1.0995675755569108
06073000700,1.2170799386188176
06073000800,0.9592083801116473
06073000901,1.0628454967544982
06073000902,1.0996792963503823
06073001000,1.149031512411764
06073001100,1.1241244220692885
06073001201,1.1545551169029131
06073001202,0.9968742948110103
06073001301,1.4771850012736423
06073001302,0.9362357781686238
06073001400,1.0163315120063656
06073001500,1.0333048663900428
06073001600,1.003467880867754
06073001700,1.124172174226713
06073001801,1.1200693057365307
06073001802,1.2485804162950567
06073001900,0.9909549975533827
06073002001,1.0250742683927947
06073002002,0.9730305421786004
06073002100,1.1259783717070575
06073002201,1.1113411518359773
06073002202,1.3842114220967117
06073002301,1.1586821654955204
06073002302,1.1016562612026832
06073002401,0.932273796749193
06073002402,1.1222164226579479
06073002501,1.135212596468794
06073002502,1.2493484281345542
06073002601,1.0549910790036232
06073002602,1.1098230608292958
06073002702,1.1787866024849363
06073002703,1.0467998351582435
06073002705,1.4974003203308133
06073002707,1.3478727421139898
06073002708,1.2554244254245812
06073002709,0.9450800360281029
06073002710,0.983294840167701
06073002711,1.1757601549492593
06073002712,0.9826094870871483
06073002801,1.0189419023478687
06073002803,1.0716282362251575
06073002804,1.1627200759242537
06073002902,1.1711702291639827
06073002903,1.3063478356655194
06073002904,1.0536954160182674
06073002905,1.1147640959852974
06073003001,0.9888842232344931
06073003003,1.1114031962635706
06073003004,1.0469024803233
06073003101,1.183298380471466
06073003103,1.1358013744500102
06073003105,0.9054143122825308
06073003107,0.9926452725645238
06073003108,1.5608244292631912
06073003109,1.3086124903610816
06073003111,1.239921795817966
06073003112,1.0484116348889465
06073003113,1.3603042928259368
06073003114,1.2876889636502555
06073003115,1.1205687935887576
06073003201,1.0580365770606541
06073003202,1.210377083105179
06073003204,1.2721779823318724
06073003207,0.9656981447019527
06073003208,1.7283629100153453
06073003209,1.6290265173278469
06073003211,1.0634371137889387
06073003212,1.3640974428187238
06073003213,1.4410930182625918
06073003214,1.1512317962854735
06073003301,1.2910681915956452
06073003303,1.2615947487436627
06073003304,1.0363797441557592
06073003305,1.0036730197441819
06073003401,1.1473089845817004
06073003403,1.1585754747925112
06073003404,0.9466917467781035
06073003501,1.3530580875297298
06073003502,1.0017363279829836
06073003601,1.0861981575621609
06073003602,1.2486739762541252
06073003603,1.0064022791026617
06073003800,1.3194769951601215
06073003901,1.4407447422023743
06073003902,1.1996167709322578
06073004000,1.0560989124065818
06073004101,1.1355608099836443
06073004102,1.1861067673842813
06073004200,0.861963321527391
06073004300,0.931103050113972
06073004400,1.197321426624442
06073004501,1.1708352831132591
06073004600,1.2979849279923912
06073004700,1.622608341414136
06073004800,1.249654615752976
06073004900,1.0050759907717424
06073005000,1.3720029500620832
06073005101,1.4267287677348623
06073005102,0.9889279600504014
