group,n_tracts,posterior_mean_pt,posterior_median_of_group_median,ci_lower,ci_upper,frac_exceedance_gt50,group_type
Q4 (most),180,26525.585799013585,9.865708875087869,9.827847889335615,9.9014243811087,0.016666666666666666,Disadvantage quartile
Q3,180,16577.07062906208,9.38968256355199,9.353557286458779,9.427829582600214,0.016666666666666666,Disadvantage quartile
Q2,180,10376.677917164685,8.801887186818234,8.755633347238422,8.853509648294796,0.1388888888888889,Disadvantage quartile
Q1 (least),180,9589.58297472822,8.601407014569466,8.557327037257243,8.643974090013861,0.17777777777777778,Disadvantage quartile
Lower transit-dependency,720,15767.229329992142,9.28032146102456,9.253936247943205,9.308246465327182,0.0875,Vehicle ownership
