GEOID,rank_det,rank_bayes,rank_delta,jobs_C000_45min,posterior_mean_jobs,disadvantage_z,exceedance_prob_45min,ci_width_log1p
06073006200,226.0,239.0,13.0,16655.0,15939.97504179155,-0.5236682336308077,0.0050625,0.4366357162775021
06073009902,530.0,538.0,8.0,4659.0,4531.351847036827,0.0,0.37075,0.38417504503163435
06073020026,178.0,185.0,7.0,19783.0,19571.055505783075,-0.5059204007214118,0.0,0.3478368522419597
06073010015,311.0,318.0,7.0,12800.0,12599.733628867716,-0.4354881846691845,0.0,0.35616367912896507
06073010300,538.0,532.0,-6.0,4545.0,4593.732783225757,0.9285440407741652,0.3590625,0.3485092133560368
06073012401,205.0,210.0,5.0,17760.0,17662.737304112376,0.183100792657309,0.0,0.3445071670881976
06073018522,322.0,327.0,5.0,12456.0,12322.201737382748,-0.4218228219951145,0.00121875,0.3475902183899624
06073017071,150.0,155.0,5.0,22003.0,21717.644437241906,-1.1234208374118788,0.0,0.3535477312854205
06073002708,122.0,117.0,-5.0,25500.0,25608.209486851047,1.9692672232359216,0.0,0.3378438858741948
06073020213,155.0,151.0,-4.0,21812.0,21869.215647743422,1.6031837121691843,0.0,0.3399391651671504
06073015706,235.0,231.0,-4.0,16280.0,16393.240223617093,2.0441625413794973,0.0,0.3420942006688108
06073002707,209.0,205.0,-4.0,17681.0,17795.793859691978,2.0421601286478626,0.0,0.3458704399732593
06073002202,212.0,208.0,-4.0,17593.0,17746.154394303456,2.097811781123848,0.0,0.3409686029387231
06073011700,129.0,125.0,-4.0,24350.0,24343.565826386777,1.1786312910930334,0.0,0.3503151384114158
06073008374,568.0,572.0,4.0,3781.0,3781.406781416383,-1.6007816892368416,0.97171875,0.34905738577812073
06073017049,126.0,130.0,4.0,24375.0,23962.126213901895,0.1094565783484378,0.0,0.3563304527220783
06073020207,288.0,284.0,-4.0,13881.0,13966.45672012365,1.4863848751941362,0.0,0.3616910381805347
06073022101,74.0,78.0,4.0,33681.0,32844.419753842274,-0.7972899879189118,0.0,0.3818636053050035
06073011100,484.5,481.0,-3.5,5815.0,5855.2083553257635,-0.0556132765123359,0.004875,0.3494846037678343
06073020308,324.5,321.0,-3.5,12420.0,12484.4434736121,1.3428595693013794,0.0,0.3443315751701803
06073008303,426.5,430.0,3.5,7956.0,7903.563431803421,-1.0410175036061953,0.00034375,0.34513542362616434
06073013312,465.5,462.0,-3.5,6440.0,6482.067919729268,0.4408384422328084,0.00128125,0.34590997316604977
06073013608,576.0,573.0,-3.0,3683.0,3730.390858427782,1.301076935118725,0.9735625,0.34506232355375843
06073011802,227.0,224.0,-3.0,16627.0,16638.369768301716,0.7701920656149083,0.0,0.3407393164579968
06073002402,248.0,245.0,-3.0,15513.0,15606.295008890269,1.4255924028780942,0.0,0.3445018810608236
06073002302,245.0,242.0,-3.0,15700.0,15856.600979100462,2.0629166979451314,0.0,0.344503287233362
06073002301,302.0,299.0,-3.0,13030.0,13088.235476218235,0.6990785390108668,0.0,0.3376860911882762
06073010012,435.0,432.0,-3.0,7794.0,7862.267791281713,0.5488821703308058,0.00021875,0.3461389877800425
06073016404,336.0,333.0,-3.0,11950.0,12011.38742114158,1.7826186882910848,0.0,0.3476253088777277
06073017813,333.0,336.0,3.0,12002.0,11906.204687465697,-0.172031602745962,0.0,0.35332907508338707
06073019903,300.0,303.0,3.0,13075.0,12947.47327030148,-0.278144985919744,0.00021875,0.344616736267195
06073008003,316.0,313.0,-3.0,12721.0,12710.372968966954,-0.4069401887661851,0.0,0.33853038841092165
06073008202,398.0,395.0,-3.0,8893.0,8998.226559975703,2.434332382523154,3.125e-05,0.356783104886917
06073008313,70.0,73.0,3.0,34147.0,33571.731692912756,-1.0615035696949884,0.0,0.35875835329632366
06073008339,48.0,51.0,3.0,43372.0,42472.85537857949,1.6423261133730538,6.25e-05,0.3688864578621551
06073005601,20.0,17.0,-3.0,79156.0,79910.9358294126,4.320491586180137,0.0,0.35031948880268615
06073005602,9.0,12.0,3.0,85916.0,83610.77590504466,0.3171944362750259,0.0,0.38150119917779257
06073003502,238.0,235.0,-3.0,16170.0,16207.442183204634,1.4342206096128345,0.0,0.3457171742975067
06073017050,244.0,247.0,3.0,15727.0,15573.548141820345,0.1427511921001069,0.0,0.3468718894986864
06073009104,411.0,414.0,3.0,8431.0,8409.49786104015,-0.4666120397313889,0.00028125,0.34118696964018547
06073015801,77.0,74.0,-3.0,33514.0,33466.11627911299,1.5315309128036578,0.0,0.3489650133871436
06073013203,190.0,187.0,-3.0,19099.0,19136.07613536221,1.244196682357928,0.0,0.34402057113551443
06073014400,278.0,275.0,-3.0,14305.0,14323.26654090754,1.2870415559639583,0.0,0.34070393010678934
06073007601,523.0,526.0,3.0,4918.0,4887.967971239168,0.5516323285655766,0.1138125,0.35209124052450314
06073017202,401.0,404.0,3.0,8821.0,8745.827334652335,-0.9640627150143716,0.00021875,0.35313235524530207
06073013908,542.0,539.0,-3.0,4457.0,4492.789133982323,0.2512046223520925,0.48365625,0.3482146841257432
06073022102,230.0,233.0,3.0,16471.0,16317.941184991372,-0.4270187345033209,0.0,0.34015890980775865
06073018609,515.0,512.0,-3.0,5225.0,5271.954325546638,0.5817868628234631,0.02428125,0.34341737669698347
06073021800,484.5,487.0,2.5,5815.0,5805.807192129312,-1.136262055845597,0.007125,0.3422964918608642
06073010017,624.5,622.0,-2.5,2288.0,2313.891856545861,-0.1394989525591674,0.998625,0.33948059908358097
06073016618,701.5,699.0,-2.5,405.0,422.4976711200846,-0.1848497943957825,0.99771875,0.4131424324447739
06073014601,181.5,179.0,-2.5,19726.0,19736.731834647602,1.4322255009495288,0.0,0.34209135893670783
06073009604,326.5,324.0,-2.5,12404.0,12373.971666555457,0.0590164564688962,0.0,0.3354000965191748
06073017306,533.5,536.0,2.5,4575.0,4561.418392931521,-1.414054116647962,0.37521875,0.33806160502012617
06073011801,118.0,120.0,2.0,25659.0,25560.953760923116,1.06499459160533,0.0,0.34199570360059717
06073000901,56.0,54.0,-2.0,40903.0,40818.62069191856,0.8345135870419281,0.0,0.3404542356583846
06073013205,306.0,308.0,2.0,12942.0,12870.8357365391,0.494976978672007,3.125e-05,0.3397266646736803
06073002710,293.0,291.0,-2.0,13567.0,13614.997208738845,1.0640414530123945,0.0,0.3465768970461536
06073000902,50.0,48.0,-2.0,42918.0,42896.38741566099,1.495564112036653,0.0,0.3441937747396846
06073020210,304.0,302.0,-2.0,13018.0,13018.098896083722,0.5896597079413596,0.0,0.3421160273445363
06073020202,152.0,150.0,-2.0,21927.0,21914.28473932311,1.212977316888497,0.0,0.3462129662406195
06073020107,342.0,344.0,2.0,11721.0,11677.796135395929,0.3745765726908069,0.0,0.3447668277757945
06073012900,167.0,169.0,2.0,20615.0,20467.927942468406,-0.24004026942706,0.0,0.349165469292144
06073012600,303.0,305.0,2.0,13019.0,12938.833895428954,0.475317189961545,0.0,0.3430322450901553
06073012303,285.0,287.0,2.0,13928.0,13924.58838348276,0.713832338095772,0.0,0.34704455111368304
06073003103,536.0,534.0,-2.0,4561.0,4588.256841246989,0.0150916736749134,0.3541875,0.3457835219469292
06073002602,319.0,317.0,-2.0,12562.0,12600.373097261401,1.0520506826945313,0.0,0.3426840743984467
06073012002,299.0,297.0,-2.0,13127.0,13247.745872085223,2.178628191165715,0.0,0.3335675412381729
06073013425,495.0,497.0,2.0,5542.0,5520.166907833082,-1.05250743222512,0.01434375,0.3493770881753697
