parameter,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat,divergences_total
alpha,-0.0002,0.0343,-0.064,0.0625,0.0018,0.0008,360.5551,819.7745,1.0083,0
beta[disadvantage_z],0.0584,0.0932,-0.1201,0.2315,0.004,0.0018,557.2805,1372.4405,1.0084,0
beta[no_vehicle_hh_rate],-0.0552,0.0613,-0.1674,0.0627,0.0026,0.0013,541.627,1212.8834,1.0076,0
beta[log_median_income],-0.1615,0.0691,-0.2903,-0.032,0.0031,0.0015,486.9257,1183.0769,1.0089,0
beta[log_pop_density],0.2342,0.038,0.1638,0.3063,0.0017,0.0009,519.3886,1065.5736,1.0062,0
rho,0.4237,0.1992,0.0675,0.7769,0.0026,0.0013,5951.9585,6101.4589,1.0012,0
sigma,1.3104,0.3208,0.9299,1.876,0.0049,0.0088,5190.4809,6183.744,1.0012,0
