disadv_quartile,n_tracts,wasserstein_mean,wasserstein_median,wasserstein_p25,wasserstein_p75,pop_weighted_mean
Q1 (least),180,31512.106392962352,33682.75986611545,27179.56206447631,36698.178529428485,31512.106392962352
Q2,180,31037.700255523512,32608.74653970137,26532.03165676016,36727.30710335925,31037.700255523512
Q3,180,27114.141859369436,27567.129399995956,20330.43279971478,33598.86388376268,27114.141859369436
Q4 (most),180,24236.783818266726,22678.705257686837,16331.974436036826,28597.372495148385,24236.783818266726
