GEOID,posterior_mean_jobs,jobs_C000_45min,exceedance_prob_45min,ci_width_log1p,disadvantage_z,hook_score
06073013317,4470.527928745155,4467.0,0.49978125,0.3412248915078884,-0.4757439915294281,0.34107560561785366
06073013908,4492.789133982323,4457.0,0.48365625,0.3482146841257432,0.2512046223520925,0.336832416638383
06073017057,4492.025881837953,4483.0,0.47584375,0.3421915913575706,-0.7305858693136492,0.325659460100108
06073017031,4490.498913474484,4471.0,0.477125,0.34105544854566716,-0.6634904580306938,0.32545216177470293
06073013306,4428.595359101651,4402.0,0.567,0.3361525172987587,0.3267956364116827,0.2911080799807251
06073009902,4531.351847036827,4659.0,0.37075,0.38417504503163435,0.0,0.2848657958909569
06073016619,4388.471857893359,4378.0,0.61303125,0.3515509919640234,0.2822476127506625,0.27207849584315635
06073017045,4550.545312659123,4551.0,0.3924375,0.3415858044402107,-1.338082440507062,0.2681021582600104
06073017044,4383.899554914736,4371.0,0.61646875,0.3366416890719037,-1.0560160648228156,0.25822521562371714
06073017306,4561.418392931521,4575.0,0.37521875,0.33806160502012617,-1.414054116647962,0.2536941057172909
06073017305,4573.841968948576,4575.0,0.36465625,0.3467375488011104,-0.7155740286829727,0.25288002856000985
06073010300,4593.732783225757,4545.0,0.3590625,0.3485092133560368,0.9285440407741652,0.25027317884130396
06073017052,4591.2293068061135,4568.0,0.351125,0.35032921353474755,-0.3474992763935903,0.24601869020477649
06073003103,4588.256841246989,4561.0,0.3541875,0.3457835219469292,0.0150916736749134,0.24494440235915596
06073003003,4607.860446752663,4591.0,0.332125,0.340516953355408,0.4087861801747146,0.22618838626632976
06073013905,4621.738922235111,4607.0,0.31325,0.3374781234399684,-0.5517812985017226,0.2114300443351402
06073010004,4336.98168343389,4312.0,0.68959375,0.335734471542418,-0.0891150675051168,0.20842815661442735
06073010502,4318.592698160044,4273.0,0.70915625,0.3492104391236328,0.849586431717221,0.20313134730772814
06073019205,4309.723069984015,4276.0,0.719625,0.3453546599361914,0.4389224731493454,0.19365762555921937
06073017041,4304.4304375101065,4292.0,0.71934375,0.3400078160170654,-0.6791658258692354,0.19085063722807907
