GEOID,det_jobs,exceedance_prob,disadvantage_z,det_desert,bayes_desert,classification
06073003603,25732.0,0.0,1.039540822744861,False,False,TN
06073003800,4922.0,0.08940625,-0.4996321377588829,False,False,TN
06073003901,27776.0,0.0,0.8280625140462075,False,False,TN
06073003902,27246.0,0.0,1.4206989089240425,False,False,TN
06073004000,29087.0,0.0,1.074798819333862,False,False,TN
06073004101,29950.0,0.0,0.6050802815968904,False,False,TN
06073004102,77695.0,0.0,1.7116450178903018,False,False,TN
06073004200,8953.0,0.0,-0.5784425486832281,False,False,TN
06073004300,16729.0,0.0,0.0215316524009573,False,False,TN
06073004400,34365.0,0.0,0.0991795172687325,False,False,TN
06073004501,80035.0,0.0,0.9296086487306192,False,False,TN
06073004600,82793.0,0.0,1.2945161415991076,False,False,TN
06073004700,75036.0,0.0,0.8102122270275013,False,False,TN
06073004800,69862.0,0.0,1.4562924847475731,False,False,TN
06073004900,40615.0,0.0,1.834358202692828,False,False,TN
06073005000,57423.0,0.0,2.074624781102489,False,False,TN
06073005101,76316.0,0.0,1.977559719051885,False,False,TN
06073005102,81706.0,0.0,2.233357669408602,False,False,TN
06073005103,63971.0,0.0,3.358170441189166,False,False,TN
06073005201,83963.0,0.0,1.1855968353353543,False,False,TN
06073005202,83630.0,0.0,3.52175972061918,False,False,TN
06073005301,88885.0,0.0,2.7564022945738373,False,False,TN
06073005302,85485.0,0.0,0.8531465466292896,False,False,TN
06073005401,79440.0,0.0,0.3193726423034097,False,False,TN
06073005402,76450.0,0.0,0.5740679897650426,False,False,TN
06073005403,80003.0,0.0,0.1132181563931149,False,False,TN
06073005500,77726.0,0.0,-0.5236682336308077,False,False,TN
06073005601,79156.0,0.0,4.320491586180137,False,False,TN
06073005602,85916.0,0.0,0.3171944362750259,False,False,TN
06073005700,97403.0,0.0,2.4991042330673023,False,False,TN
06073005801,100831.0,0.0,1.6825504298244145,False,False,TN
06073005802,83165.0,0.0,-0.3354503719648814,False,False,TN
06073005900,96065.0,0.0,1.672434636401963,False,False,TN
06073006000,95395.0,0.0,0.8926099928568458,False,False,TN
06073006100,100417.0,0.0,0.0540439718719686,False,False,TN
06073006200,16655.0,0.0050625,-0.5236682336308077,False,False,TN
06073006300,31243.0,0.0,-0.5236682336308077,False,False,TN
06073006500,34000.0,0.0,2.721564051701073,False,False,TN
06073006600,27487.0,0.0,-0.1208087315955241,False,False,TN
06073006801,28903.0,0.0,0.3206579308564866,False,False,TN
06073006802,27293.0,0.0,1.131784117702301,False,False,TN
06073006900,28785.0,0.0,-0.4500738879748505,False,False,TN
06073007002,17527.0,0.0,-0.5789888182317723,False,False,TN
06073007100,11132.0,0.0,-0.3604424959005909,False,False,TN
06073007200,8805.0,9.375e-05,-0.8531778148728968,False,False,TN
06073007302,15126.0,0.0,-0.9531894461851914,False,False,TN
06073007303,10059.0,0.0001875,-0.3744424651861355,False,False,TN
06073007304,7967.0,0.000125,0.5285604698866337,False,False,TN
06073007401,14726.0,0.0,0.613711790684122,False,False,TN
06073007402,15435.0,0.0,-0.1337260203483475,False,False,TN
06073007501,13906.0,0.0,0.6990417013639695,False,False,TN
06073007502,8526.0,0.000375,0.4725288309113053,False,False,TN
06073007601,4918.0,0.1138125,0.5516323285655766,False,False,TN
06073007602,3080.0,0.99590625,0.879695363291029,True,True,TP
06073007701,12861.0,0.0,-0.1173588606633176,False,False,TN
06073007702,12861.0,0.0,-0.0337711852129732,False,False,TN
