stop_id,stop_code,stop_name,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,wheelchair_boarding,intersection_code,reference_place,stop_name_short,stop_place
mts:10800,10800,Clairemont Mesa Bl & Moraga Av,32.82867555,-117.21295974,,,0,,1,N-W/B,,Cmnt Mesa&Moraga,
mts:13294,13294,Clairemont Mesa Bl & Murphy Canyon Rd,32.83280238,-117.12137398,,,0,,1,N-E/B,,Cmnt Mesa&Murphy Cyn,
mts:60820,60820,Clairemont Mesa Bl & Murphy Canyon Rd,32.83308426,-117.12154606,,,0,,1,F-W/B,,Cmnt Mesa&Murphy Cyn,
mts:10159,10159,Clairemont Mesa Bl & Overland Av,32.83126451,-117.13126196,,,0,,1,N-E/B,,Cmnt Mesa&Overland,claove
mts:11295,11295,Clairemont Mesa Bl & Overland Av,32.83159636,-117.13136294,,,0,,1,F-W/B,,Cmnt Mesa&Overland,
mts:10413,10413,Clairemont Mesa Bl & Pocahontas Av,32.82760523,-117.20851421,,,0,,1,F-E/B,,Cmnt Mesa&Pocahontas,
mts:11171,11171,Clairemont Mesa Bl & Pocahontas Av,32.82785350,-117.20910614,,,0,,1,F-W/B,,Cmnt Mesa&Pocahontas,
mts:60818,60818,Clairemont Mesa Bl & Repecho Dr,32.83256334,-117.11196312,,,0,,2,M-Street-W/B,,Cmnt Mesa&Repecho,
mts:60831,60831,Clairemont Mesa Bl & Repecho Dr,32.83213769,-117.11151620,,,0,,1,F-E/B,,Cmnt Mesa&Repecho,
mts:11180,11180,Clairemont Mesa Bl & Rolfe Rd,32.82824365,-117.20273306,,,0,,1,F-W/B,,Cmnt Mesa&Rolfe,
mts:10180,10180,Clairemont Mesa Bl & Ruffin Rd,32.83127549,-117.12701691,,,0,,1,N-E/B,,Cmnt Mesa&Ruffin,
mts:10183,10183,Clairemont Mesa Bl & Ruffin Rd,32.83132755,-117.12626541,,,0,,0,F-E/B,,Cmnt Mesa&Ruffin,
mts:10936,10936,Clairemont Mesa Bl & Ruffin Rd,32.83160222,-117.12629093,,,0,,1,N-W/B,,Cmnt Mesa&Ruffin,
mts:13111,13111,Clairemont Mesa Bl & Ruffin Rd,32.83160225,-117.12860885,,,0,,1,F-W/B,,Cmnt Mesa&Ruffin,claove
mts:10477,10477,Clairemont Mesa Bl & Ruffner St,32.83254428,-117.15871247,,,0,,1,F-E/B,,Cmnt Mesa&Ruffner,
mts:11247,11247,Clairemont Mesa Bl & Ruffner St,32.83286237,-117.15955894,,,0,,1,F-W/B,,Cmnt Mesa&Ruffner,
mts:60796,60796,Clairemont Mesa Bl & Santo Rd,32.82900038,-117.10219133,,,0,,1,N-W/B,,Cmnt Mesa&Santo,
mts:60797,60797,Clairemont Mesa Bl & Santo Rd,32.82994441,-117.10478854,,,0,,1,F-W/B,,Cmnt Mesa&Santo,clasnW
mts:60833,60833,Clairemont Mesa Bl & Santo Rd,32.82904944,-117.10304797,,,0,,1,F-E/B,,Cmnt Mesa&Santo,clasan
mts:10091,10091,Clairemont Mesa Bl & Shawline St (Kaiser),32.83281806,-117.16295729,,,0,,1,N-W/B,,Cmnt Mesa&Shawline (Kaiser),clasha
mts:10466,10466,Clairemont Mesa Bl & Shawline St (Kaiser),32.83247780,-117.16288213,,,0,,1,F-E/B,,Cmnt Mesa&Shawline (Kaiser),clasha
mts:60819,60819,Clairemont Mesa Bl & Tierrasanta Research Park,32.83380866,-117.11574007,,,0,,2,M-Street-W/B,,Cmnt Mesa&Trasnta Rsch Pk,
mts:60830,60830,Clairemont Mesa Bl & Tierrasanta Research Park,32.83345259,-117.11528925,,,0,,1,N-E/B,,Cmnt Mesa&Trasnta Rsch Pk,
mts:41253,41253,Claydelle Av & E Main St,32.79456448,-116.95871310,,,0,,1,N-N/B,,Claydelle&E Main,clamai
mts:41281,41281,Claydelle Av & E Main St,32.79449215,-116.95886546,,,0,,1,F-S/B,,Claydelle&E Main,clamai
mts:11781,11781,College Av & Adelaide Av,32.75747581,-117.06645758,,,0,,2,F-S/B,,Coll&Adelaide,
mts:12937,12937,College Av & Adelaide Av,32.75804089,-117.06620910,,,0,,1,F-N/B,,Coll&Adelaide,
mts:12205,12205,College Av & Alvarado Rd,32.77616076,-117.06801674,,,0,,1,F-S/B,,Coll&Alvarado,
mts:12209,12209,College Av & Arosa St,32.76500628,-117.06693400,,,0,,1,F-S/B,,Coll&Arosa,
mts:12934,12934,College Av & Arosa St,32.76554354,-117.06673729,,,0,,1,F-N/B,,Coll&Arosa,
mts:12952,12952,College Av & Billman St,32.74571257,-117.05847798,,,0,,1,N-N/B,,Coll&Billman,
mts:12936,12936,College Av & Camino Rico,32.79300258,-117.06691711,,,0,,1,F-N/B,,Coll&Cmo Rico,
mts:11791,11791,College Av & College Grove Dr,32.74466111,-117.05492986,,,0,,2,N-S/B,,Coll&Coll Grove,
mts:12962,12962,College Av & College Grove Dr,32.74466098,-117.05410704,,,0,,2,F-N/B,,Coll&Coll Grove,
mts:99250,99250,College Av & College Grove Dr,32.74399080,-117.05319355,,,0,,1,F-S/B,,Coll&Coll Grove,colcol
mts:99650,99650,College Av & College Grove Dr,32.74433013,-117.05333746,,,0,,0,N-N/B,,Coll&Coll Grove,colcol
mts:12203,12203,College Av & Cresita Dr,32.76849960,-117.06859623,,,0,,1,F-S/B,,Coll&Cresita,
mts:11785,11785,College Av & Del Cerro Bl,32.78368158,-117.06204770,,,0,,1,N-S/B,,Coll&Del Cerro,
mts:12948,12948,College Av & Del Cerro Bl,32.78381513,-117.06180165,,,0,,1,F-N/B,,Coll&Del Cerro,
mts:10262,10262,College Av & El Cajon Bl,32.76195317,-117.06686340,,,0,,0,F-N/B,,Coll&El Cjn,elccol
